full_text,username,original_text,processed_text,sentiment,confidence
Warisan Presiden RI ke-7 Jokowi kini mulai berbuah manis. Salah satunya progres pembangunan mega proyek Ibu Kota Nusantara (IKN) Tahap 1 per 13 Desember 2024 telah mencapai 96 persen atau nyaris rampung. https://t.co/gCGd9W0dop,bengkeldodo,Warisan Presiden RI ke-7 Jokowi kini mulai berbuah manis. Salah satunya progres pembangunan mega proyek Ibu Kota Nusantara (IKN) Tahap 1 per 13 Desember 2024 telah mencapai 96 persen atau nyaris rampung. https://t.co/gCGd9W0dop,warisan presiden ri ke7 jokowi kini mulai berbuah mani salah satunya progr pembangunan mega proyek ibu kota nusantara ikn tahap per 13 desemb 2024 telah mencapai 96 persen atau nyari rampung,Negative,0.9477076530456543
Ibu Kota Nusantara Kalimantan Timur (2022) https://t.co/ME8RzNN1oL,PrabuAtmadja,Ibu Kota Nusantara Kalimantan Timur (2022) https://t.co/ME8RzNN1oL,ibu kota nusantara kalimantan timur 2022,Positive,0.9358037114143372
#FOTO Rumah susun ASN di Ibu Kota Nusantara hampir rampung dibangun. Bangunannya terlihat modern dan fungsional. Simak potret lengkapnya di sini. &gt,,#FOTO Rumah susun ASN di Ibu Kota Nusantara hampir rampung dibangun. Bangunannya terlihat modern dan fungsional. Simak potret lengkapnya di sini. &gt,rumah susun asn di ibu kota nusantara hampir rampung dibangun bangunannya terlihat modern dan fungsion simak potret lengkapnya di sini gt,Negative,0.9803102612495422
Pemindahan Ibu Kota Ke IKN Nusantara Kebutuhan Pemerataan Pembangunan https://t.co/Xca1W3Ki1w,LesterFarhan,Pemindahan Ibu Kota Ke IKN Nusantara Kebutuhan Pemerataan Pembangunan https://t.co/Xca1W3Ki1w,pemindahan ibu kota ke ikn nusantara kebutuhan pemerataan pembangunan,Negative,0.9275050759315491
Desember part 3 Mumpung ke Balikpapan sekalian mampir ke Ibu Kota Nusantara 2 jam dari Bpp tapi MasyaAllah jalannya menyusuri hutan tropis kalimantan yang lgi hujan makanya berkabut. Ditambah supir bis yg sangat ahli jalan nya liuk2. https://t.co/dvQFIan1So,itsmerahayu_,Desember part 3 Mumpung ke Balikpapan sekalian mampir ke Ibu Kota Nusantara 2 jam dari Bpp tapi MasyaAllah jalannya menyusuri hutan tropis kalimantan yang lgi hujan makanya berkabut. Ditambah supir bis yg sangat ahli jalan nya liuk2. https://t.co/dvQFIan1So,desemb part mumpung ke balikpapan sekalian mampir ke ibu kota nusantara jam dari bpp tapi masyaallah jalannya menyusuri hutan tropi kalimantan yang lgi hujan makanya berkabut ditambah supir bi yg sangat ahli jalan nya liuk2,Negative,0.9960395097732544
Menyambut libur Natal dan Tahun Baru (Nataru) Otorita Ibu Kota Nusantara (IKN) memastikan kesiapan infrastruktur dan layanan guna menyambut antusiasme masyarakat yang ingin berkunjung ke Kawasan Inti Pusat Pemerintahan (KIPP) IKN. https://t.co/l0rc1QzfV1,beritalternatif,Menyambut libur Natal dan Tahun Baru (Nataru) Otorita Ibu Kota Nusantara (IKN) memastikan kesiapan infrastruktur dan layanan guna menyambut antusiasme masyarakat yang ingin berkunjung ke Kawasan Inti Pusat Pemerintahan (KIPP) IKN. https://t.co/l0rc1QzfV1,menyambut libur natal dan tahun baru nataru otorita ibu kota nusantara ikn memastikan kesiapan infrastruktur dan layanan guna menyambut antusiasm masyarakat yang ingin berkunjung ke kawasan inti pusat pemerintahan kipp ikn,Negative,0.9790506958961487
*Satgas Ops Nusantara Mahakam Intensifkan Patroli Rutin Guna Jaga Kondusivitas di Kawasan Pembangunan IKN* https://t.co/uQfYVHrjmn Sepaku Personel Satgas Operasi Nusantara Mahakam Polda Kaltim terus meningkatkan patroli keamanan di area pembangunan Ibu Kota Negara (IKN) baru. https://t.co/k0XRCOurVg,sdmresmahulu,*Satgas Ops Nusantara Mahakam Intensifkan Patroli Rutin Guna Jaga Kondusivitas di Kawasan Pembangunan IKN* https://t.co/uQfYVHrjmn Sepaku Personel Satgas Operasi Nusantara Mahakam Polda Kaltim terus meningkatkan patroli keamanan di area pembangunan Ibu Kota Negara (IKN) baru. https://t.co/k0XRCOurVg,satga op nusantara mahakam intensifkan patroli rutin guna jaga kondusivita di kawasan pembangunan ikn sepaku personel satga operasi nusantara mahakam polda kaltim teru meningkatkan patroli keamanan di area pembangunan ibu kota negara ikn baru,Negative,0.9966649413108826
Kabar Gembira Telah Terbit! Prosiding Seminar Nasional Geomatika VII 2024 (ISSN: 2614-7211) kini tersedia! Dengan tema 'Informasi Geospasial untuk Ibu Kota Nusantara' Unduh sekarang melalui tautan: https://t.co/rmpQgHsGrN Terima kasih atas partisipasi Bapak/Ibu dalam https://t.co/Km5gssKovN,InfoGeospasial,Kabar Gembira Telah Terbit! Prosiding Seminar Nasional Geomatika VII 2024 (ISSN: 2614-7211) kini tersedia! Dengan tema 'Informasi Geospasial untuk Ibu Kota Nusantara' Unduh sekarang melalui tautan: https://t.co/rmpQgHsGrN Terima kasih atas partisipasi Bapak/Ibu dalam https://t.co/Km5gssKovN,kabar gembira telah terbit prosid seminar nasion geomatika vii 2024 issn 26147211 kini tersedia dengan tema informasi geospasi untuk ibu kota nusantara unduh sekarang melalui tautan terima kasih ata partisipasi bapakibu dalam,Negative,0.9818928241729736
@mohmahfudmd Semoga menjadi berkah bagi Kedamaian Nusantara ... Bukan berkah buat Ibu kota Nusantara ya !!! Dari dulu aku nunggu kapan Rizieq Shihab cs mau ucapkan selamat natal kpd umat Nasrani ??? Apa nunggu jd Mentri dulu kali ,MahadewaDharne,@mohmahfudmd Semoga menjadi berkah bagi Kedamaian Nusantara ... Bukan berkah buat Ibu kota Nusantara ya !!! Dari dulu aku nunggu kapan Rizieq Shihab cs mau ucapkan selamat natal kpd umat Nasrani ??? Apa nunggu jd Mentri dulu kali ,semoga menjadi berkah bagi kedamaian nusantara bukan berkah buat ibu kota nusantara ya dari dulu aku nunggu kapan rizieq shihab cs mau ucapkan selamat natal kpd umat nasrani apa nunggu jd mentri dulu kali,Negative,0.9935169219970703
🇯🇵: ibu kota Indonesia yang baru tuh Nusantara ya? : hah kok Nusantara jakarta lah Setelah search di google ternyata IKN (Ibu Kota Nusantara) Ku lupa singkatan dari IKN itu. Akibat kurang pengetahuan sama negara sendiri jadi malu kan. orang luar lebih tau Indonesia ,wrrdhnaa,🇯🇵: ibu kota Indonesia yang baru tuh Nusantara ya? : hah kok Nusantara jakarta lah Setelah search di google ternyata IKN (Ibu Kota Nusantara) Ku lupa singkatan dari IKN itu. Akibat kurang pengetahuan sama negara sendiri jadi malu kan. orang luar lebih tau Indonesia ,ibu kota indonesia yang baru tuh nusantara ya hah kok nusantara jakarta lah setelah search di googl ternyata ikn ibu kota nusantara ku lupa singkatan dari ikn itu akibat kurang pengetahuan sama negara sendiri jadi malu kan orang luar lebih tau indonesia,Negative,0.9940922856330872
