full_text;username
nasional pembangunan ibu kota baru Nusantara dan upaya menuju Indonesia Emas 2045. Melalui kegiatan ini diharapkan seluruh pegawai semakin memiliki kesadaran dan semangat untuk bersama-sama berkomitmen melawan korupsi demi tercapainya Indonesia yang lebih maju bersih dan;bckanwilbanten
 2028 Indonesia siap pindah ke IKN Nusantara! Gedung pemerintahan mulai dibangun termasuk Kemhan BIN TNI dan Polri. Apa pendapatmu tentang ibu kota baru ini? #IKNNusantara #IbuKotaBaru #IndonesiaMaju https://t.co/CaEoY8dDzb;LifeTomorow
Kepala Kantor Komunikasi Kepresidenan Hasan Nasbi mengatakan pemerintahan akan pindah ke Ibu Kota Nusantara di Kalimantan Timur setelah ibu kota baru bisa menjalankan peran sebagai ibu kota politik yang diperkirakan terjadi tahun 2028. https://t.co/vXfSv3LeHv;TVRINasional
Pemberian status PSN kuat diduga merupakan kompensasi atas permintaan Joko Widodo kepada Agung Sedayu membiayai pembangunan sebagian Ibu Kota Nusantara proyek ambisius yang membutuhkan banjir investasi.;tempodotco
Presiden RI Prabowo Subianto resmi mencabut status DKI Jakarta menjadi DKJ (Daerah Khusus Jakarta). Keputusan ini ditetapkan melalui Keputusan Presiden (Keppres) setelah ibu kota negara dipindahkan ke Nusantara Kalimantan Timur. #Barisan08 #Prabowo #KabinetMerahPutih https://t.co/G7ylOkAtoa;barisansopan
Aguan Bicara Soal IKN Hingga Kisruh PIK 2 Di akhir pemerintahan Jokowi Sugianto Kusuma alias Aguan yang jarang tampil di media lebih sering tersorot kamera. Ia terlihat memimpin para konglomerat wara-wiri di Ibu Kota Nusantara di Kalimantan Timur. Meski tak menguntungkan https://t.co/NekQedeGJQ;tempodotco
Tapi ada satu hal yang harus diingat: banyak banget tugas negara yang bisa dikerjain Gibran sebagai Wapres. Misalnya dia bisa fokus ke pembangunan Ibu Kota Nusantara yang jadi mega proyek bukan malah main bansos buat kepentingan pribadi.;tempodotco
Para taipan akan membangun mal pusat penelitian dan infrastruktur di Ibu Kota Nusantara (IKN) di Penajam Paser Utara Kalimantan Timur. Presiden Jokowi meminta mereka turun ke IKN setelah tak ada investor luar negeri yang tertarik. #tempoplus #tempo #ikn #aguan #taipan https://t.co/CTZqaef1at;tempodotco
@democrazymedia bijilondut;Nusantara2025
Aguan : Kami mesti menjaga wajah presiden @jokowi __ Menghimpun para kolomerat bos Agung Sedayu Group memimpin investor Ibu Kota Nusantara. Blak-blakan tentang kisruh proyek strategis nasional dan tudingan oligarki. @tempodotco;Prabrorooo
@Opposite6888 @jokowi nanti ada waktu2nya kejengkang tu si panjul;Nusantara2025
Ia terlihat memimpin para konglomerat wara-wiri di Ibu Kota Nusantara di Kalimantan Timur.;tempodotco
Presiden Prabowo Subianto bakal berkantor di Ibu Kota Nusantara (IKN) Kalimantan Timur pada bulan Agustus 2028 mendatang. Hal ini disampaikan oleh Menteri Pekerjaan Umum (PU) Dody Hanggodo. Targetnya Pak Prabowo itu 17 Agustus 2028 itu sudah berkantor di sana. Selambatnya 17 https://t.co/YumR1NUfbD;detikcom
@ebonXboy Presiden Prabowo Subianto telah melarang proyek mercusuar termasuk yang terkait dengan Ibu Kota Nusantara (IKN) dalam upaya efisiensi anggaran krna anggaran pun terbatas https://t.co/DZBIhLcimA;IInayaturahmah
@txtdrimedia geprak di samarinda pas 10rb klubjumat barokah bisa 8rb;Nusantara2025
@are_inismyname @Ndons_Back @BANGSAygSUJUD @99propaganda @Kimberley_PS08 @florieliciouss @DarekaRendy @IrawanRommi @temanduit @agathadew_ @MIrvanDarwin1 kantong bansos partai coklat jangan dilawan ya dik ya;Nusantara2025
Insentif PPh Final 0% Dorong Pertumbuhan UMKM di Ibu Kota Nusantara https://t.co/8Qx4oTUCJk;kukarnewsdotcom
@democrazymedia unpaedah;Nusantara2025
Meninjau Potensi Investasi: Delegasi Sabah Kunjungi Ibu Kota Nusantara https://t.co/FPKvuqAivS;kukarnewsdotcom
