Author,Ulasan
@rambutodji9980,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=50m01s"">50:01</a> selamat  menunaikan  tugas  bagi  pemenang  lomba cawapres&quot; &quot;  Tunaikan  tugas kewajiban  panggilan  Bu  pertiwi!&quot;  Kami  menyerahkan  dalam  tangan  Sang  Pencipta  TUHAN yang  Maha kuasa.  Dari  Dia  berawal  dari segala  sesuatu  dari  yang  tidak  ada  menjadi  ada!&quot;.  TUHAN  memberkati, TUHAN menyertai  kita semua Amin."
@terserah9541,"Sepertinya anak muda ini menarik untuk memimpin Indonesia, good luck."
@viviandriani1473,Gibran siapa ya ini😅😂😅
@sadewaaji9890,Seharus nya seharus nya seharus nya. Ya begitu lah klo ora cuma bisa omong tpi ndak tau lapangan
@yumnaellisa9338,Ngedenger cak imin bilang slepet mulu jadi ngakak😭
@user-wt1hz9hv3b,Gibran 👍
@user-ki7bs3ww4g,Gibran mantap 👍🏻
@nanstory7496,Satunya slepet satunya selesai 😅
@dwiaditya6810,kebanyakan janji wkwk
@viviandriani1473,GaMa pasting menang🤩🤩🤩
@mohamad_adib,Cerdas - berbudi dan semoga menjadi pimpinan negara yan amanah ...<br><br>- 🎉🎉🎉<br><br>Prabowo - Gibrah
@user-er3lq8pu6m,"pak mahfud apa adanya, mas Gibran cerdas, yg satunya gak jelas kayak nonton stand up komedi."
@magaworld3682,"Selepeeeet, lebih masuk akal lebih jelas visi dan misi dari mas gibran yoo,,gk salah ttep dukung no ✌🏻😊"
@user-ie8oc6km1v,Ganjar md
@fdtrz3158,"Saya bantu pilih no 2 biar pun hanya 1 suara dr saya , saya ikhlas memilih ganjar dr lubuk hati saya❤"
@mohamad_adib,"No 3 ganjar, paslon nomer 2, prabowo gibran"
@zainularifin5803,"Alhamdulillah bisa lihat debat ini jadi faham ini maslah bangsa ini, yaitu ketimpangan dalam hukum kalau dilihat selama ini belum ada yang berani melawan penentang hukum ke cuali ANIS dengan mengagalkan reklamisi dan hukum2 yang lainnya mari kita dukung agar idonesia lebih baik dan makmur"
@adellaputri-xi6jm,apasi slepet”
@user-wv9fq1rx5n,Gibran anak muda yg cerdas Dan hebat
@user-hd4qy9bq1d,Gibran yes
@kanaya4672,Cak imin oh cak imin 😅
@massaris3337,"1% dari anggaran IKN yg jumlahnya 500T jdi skitar 5T kata imin bisa memmbangun jln sekalimantan??🤔,membangun 40 kota setara Jakarta kata imin tp menolak IKN??🤔, walah... Miiinnn.. Tukimin... Ankmu... Miiinnn harus di slepet minnn..😂😂,visi misi boleh berekspetasi  tinggi tpi za yg logis lach miinn...imiinn...tnpa di sadari justru yg gk logis mlah mnjadi bomerang dan nilai kualitasmu min...imiinn,mlah mpermalukan diri sndri min imin🤦🤦,"
@bersamamenujusurga,Saya rasa semua bisa menilai siapa yg paling berkompeten dari debat ini.
@nainggolanarif9332,"Menaikkan rasio pajak dan menaikkan pajak itu beda, masa ga ngeh sih"
@Rani-gl2eq,"Ini bukan debat , mirip karnapal atau festipal budaya ."
@marmarzx9514,Hanya Gibran ynk mengucapkan salam ke semua agama...
@fathannn5815,Keren gibran
@putriamelia947,Tetap mas Gibran nomer 2 yessss..🥰🥰🥰🥰👍👍👍👍🔝🔝🔝🔝❤️❤️❤️❤️
@suhanasuhana2091,Hidup untuk bapak Sleepett semua di sleepettt sleepeettt<br>Hidup sleepppeeetttttt😮😮😮 apa cukup dg makan siang gratis Indonesia jadi majuuu 😇😇😇
@efekurangopi7306,Prabowo gibran..
@Nightqwq11,Prabowo dihatiii❤
@nengnenglia3157,"H<br>n,nnNnNNNnnf a"
@user-uo6gv1vu9q,Gibran warrrrrbiasaaaa jozzzzz pokoknya
@elsanzal,"si paling nyelepet , tiap menanggapi tiap debat pasti selalu ada nyelepet"
@heidysdr8096,Gibran keren
@lisaputri8779,Tetap pak Prabowo dari dulu sampai skrg.
@user-hw1jt8ge4e,insya allah amin ☝
@jepur9905,Mas gibran kerennnnn
@unknown73736,"Pak Mahfud ini dari awal debat kalo Gibran kasih solusi atau pendapat selalu dibilang &quot;SEMUA ITU SUDAH ADA DI DATA KAMI, DI RANCANGAN KAMI, DI CATATAN KAMI, DIPIKIRKAN KAMI, DI OTAK KAMI, DI BUKU KAMI, DI KAMI KAMI KAMI DAN KAMI&quot; Begitulah cara beliau menutupi kekurangan pendapat nya. Terimakasih 🤣"
@jonlymoningka2438,"Gibran,, terus kan rencana bapak mu IKN.. Kami siap pilih kamu dng prabowo.. Jayalah gibran. Jangan pilih anies baswedan.. IKN bisa macet.. Kami sulut komitmen untuk prabowo gibran❤❤❤❤❤❤"
@Shiroizo,"Daripada uang untuk membiayai buku-buku perpustakaan sekolah, mending sekarang buku hanya untuk guru saja, guru menjadi buku para murid. Sendangkan dana yg untuk memesan banyak buku itu lebih baik untuk memesan peralatan elektronik seperti penyediaan Wi-Fi pada tiap kelas, laptop atau CPU."
@iminsupriatna8619,"udah waktunya cari pemimpin yang kerja semua, <br> pak prabowo udah sering kalah udah waktunya kali ini dia menang dan mas gibran akan jadi wakil yang tepat karena memiliki ketegasan dalam mengambil keputusan,  <br>  NOMER URUT 2 WAJIB MENANG DI 2024 ✌️"
